review_text,review_rating,brand_name,product_title,cleaned_text,tokens,tokens_no_stopwords,lemmatized_tokens,processed_text
"Great shade for fair to medium skin tone can be mixed with primer foundation or can be used alone, the glitter is not chunky but very subtle and would not bother people who do like highlighters. I use it with primer before my foundation and it gives a perfect glow.",5.0,Nykaa Cosmetics,Nykaa Strobe & Glow Liquid Highlighter,great shade for fair to medium skin tone can be mixed with primer foundation or can be used alone the glitter is not chunky but very subtle and would not bother people who do like highlighters i use it with primer before my foundation and it gives a perfect glow,"['great', 'shade', 'for', 'fair', 'to', 'medium', 'skin', 'tone', 'can', 'be', 'mixed', 'with', 'primer', 'foundation', 'or', 'can', 'be', 'used', 'alone', 'the', 'glitter', 'is', 'not', 'chunky', 'but', 'very', 'subtle', 'and', 'would', 'not', 'bother', 'people', 'who', 'do', 'like', 'highlighters', 'i', 'use', 'it', 'with', 'primer', 'before', 'my', 'foundation', 'and', 'it', 'gives', 'a', 'perfect', 'glow']","['great', 'shade', 'fair', 'medium', 'skin', 'tone', 'mixed', 'primer', 'foundation', 'used', 'alone', 'glitter', 'chunky', 'subtle', 'would', 'bother', 'people', 'like', 'highlighters', 'use', 'primer', 'foundation', 'gives', 'perfect', 'glow']","['great', 'shade', 'fair', 'medium', 'skin', 'tone', 'mixed', 'primer', 'foundation', 'used', 'alone', 'glitter', 'chunky', 'subtle', 'would', 'bother', 'people', 'like', 'highlighter', 'use', 'primer', 'foundation', 'give', 'perfect', 'glow']",great shade fair medium skin tone mixed primer foundation used alone glitter chunky subtle would bother people like highlighter use primer foundation give perfect glow
"I use it for puffiness and using it for past one month twice, day as well as night. Although, using it regularly but didn't see a good change with the product. It moisturizes well around my eye area but puffiness is still there. I do not have dark circles so can't talk about that but surely not a good product for me.",2.0,Olay,Olay Eye Cream - With Niacinamide & Pentapeptides,i use it for puffiness and using it for past one month twice day as well as night although using it regularly but didn t see a good change with the product it moisturizes well around my eye area but puffiness is still there i do not have dark circles so can t talk about that but surely not a good product for me,"['i', 'use', 'it', 'for', 'puffiness', 'and', 'using', 'it', 'for', 'past', 'one', 'month', 'twice', 'day', 'as', 'well', 'as', 'night', 'although', 'using', 'it', 'regularly', 'but', 'didn', 't', 'see', 'a', 'good', 'change', 'with', 'the', 'product', 'it', 'moisturizes', 'well', 'around', 'my', 'eye', 'area', 'but', 'puffiness', 'is', 'still', 'there', 'i', 'do', 'not', 'have', 'dark', 'circles', 'so', 'can', 't', 'talk', 'about', 'that', 'but', 'surely', 'not', 'a', 'good', 'product', 'for', 'me']","['use', 'puffiness', 'using', 'past', 'one', 'month', 'twice', 'day', 'well', 'night', 'although', 'using', 'regularly', 'see', 'good', 'change', 'product', 'moisturizes', 'well', 'around', 'eye', 'area', 'puffiness', 'still', 'dark', 'circles', 'talk', 'surely', 'good', 'product']","['use', 'puffiness', 'using', 'past', 'one', 'month', 'twice', 'day', 'well', 'night', 'although', 'using', 'regularly', 'see', 'good', 'change', 'product', 'moisturizes', 'well', 'around', 'eye', 'area', 'puffiness', 'still', 'dark', 'circle', 'talk', 'surely', 'good', 'product']",use puffiness using past one month twice day well night although using regularly see good change product moisturizes well around eye area puffiness still dark circle talk surely good product
My hair loves this and the argan oil one too!,5.0,Herbal Essences,Herbal Essences Strawberry & Mint Conditioner - For Cleansing & Volume - Paraben Free,my hair loves this and the argan oil one too,"['my', 'hair', 'loves', 'this', 'and', 'the', 'argan', 'oil', 'one', 'too']","['hair', 'loves', 'argan', 'oil', 'one']","['hair', 'love', 'argan', 'oil', 'one']",hair love argan oil one
That’s good not up to the mark as I was thinking and its rate is very high according to his quality of view it should not be so expensive.,3.0,Herbal Essences,Herbal Essences Coconut Milk Shampoo For Hydration & Softness - No Parabens- No Colourants,that s good not up to the mark as i was thinking and its rate is very high according to his quality of view it should not be so expensive,"['that', 's', 'good', 'not', 'up', 'to', 'the', 'mark', 'as', 'i', 'was', 'thinking', 'and', 'its', 'rate', 'is', 'very', 'high', 'according', 'to', 'his', 'quality', 'of', 'view', 'it', 'should', 'not', 'be', 'so', 'expensive']","['good', 'mark', 'thinking', 'rate', 'high', 'according', 'quality', 'view', 'expensive']","['good', 'mark', 'thinking', 'rate', 'high', 'according', 'quality', 'view', 'expensive']",good mark thinking rate high according quality view expensive
Perfect size product for keeping in bag.,4.0,Nykaa Cosmetics,Nykaa Bling It On! Mini Travel-Size Makeup Pouch - Stormy Goddess,perfect size product for keeping in bag,"['perfect', 'size', 'product', 'for', 'keeping', 'in', 'bag']","['perfect', 'size', 'product', 'keeping', 'bag']","['perfect', 'size', 'product', 'keeping', 'bag']",perfect size product keeping bag
The product came in absolutely in the perfect condition.,5.0,L'Oreal Paris,L'Oreal Paris Magic Retouch Instant Root Concealer Spray,the product came in absolutely in the perfect condition,"['the', 'product', 'came', 'in', 'absolutely', 'in', 'the', 'perfect', 'condition']","['product', 'came', 'absolutely', 'perfect', 'condition']","['product', 'came', 'absolutely', 'perfect', 'condition']",product came absolutely perfect condition
"The clutch is beautiful however only thing is I had ordered rose gold and I got golden clutch nevertheless , it was a gift for my bff she loves it so I am happy",4.0,Nykaa Cosmetics,Nykaa Party Edit Clutch,the clutch is beautiful however only thing is i had ordered rose gold and i got golden clutch nevertheless it was a gift for my bff she loves it so i am happy,"['the', 'clutch', 'is', 'beautiful', 'however', 'only', 'thing', 'is', 'i', 'had', 'ordered', 'rose', 'gold', 'and', 'i', 'got', 'golden', 'clutch', 'nevertheless', 'it', 'was', 'a', 'gift', 'for', 'my', 'bff', 'she', 'loves', 'it', 'so', 'i', 'am', 'happy']","['clutch', 'beautiful', 'however', 'thing', 'ordered', 'rose', 'gold', 'got', 'golden', 'clutch', 'nevertheless', 'gift', 'bff', 'loves', 'happy']","['clutch', 'beautiful', 'however', 'thing', 'ordered', 'rose', 'gold', 'got', 'golden', 'clutch', 'nevertheless', 'gift', 'bff', 'love', 'happy']",clutch beautiful however thing ordered rose gold got golden clutch nevertheless gift bff love happy
Nailpolish is really good but the nailpolish bottle I received is slightly defective as the brush stick is not firm.,4.0,Lakme,Lakme True Wear Nail Color,nailpolish is really good but the nailpolish bottle i received is slightly defective as the brush stick is not firm,"['nailpolish', 'is', 'really', 'good', 'but', 'the', 'nailpolish', 'bottle', 'i', 'received', 'is', 'slightly', 'defective', 'as', 'the', 'brush', 'stick', 'is', 'not', 'firm']","['nailpolish', 'really', 'good', 'nailpolish', 'bottle', 'received', 'slightly', 'defective', 'brush', 'stick', 'firm']","['nailpolish', 'really', 'good', 'nailpolish', 'bottle', 'received', 'slightly', 'defective', 'brush', 'stick', 'firm']",nailpolish really good nailpolish bottle received slightly defective brush stick firm
Beautiful product one swipe application n blend perfectly,5.0,Kay Beauty,Kay Beauty Metallic Eyeshadow Stick Pencil,beautiful product one swipe application n blend perfectly,"['beautiful', 'product', 'one', 'swipe', 'application', 'n', 'blend', 'perfectly']","['beautiful', 'product', 'one', 'swipe', 'application', 'n', 'blend', 'perfectly']","['beautiful', 'product', 'one', 'swipe', 'application', 'n', 'blend', 'perfectly']",beautiful product one swipe application n blend perfectly
"This brow pencil cum powder is a magic product. Maybelline needs a reward for it. Just the right consistency, correctly pigmented, perfect color, powder does its work perfectly without making the brow look fake. All in all. Just perfect.",5.0,Maybelline New York,Maybelline New York Fashion Brow Duo Shaper,this brow pencil cum powder is a magic product maybelline needs a reward for it just the right consistency correctly pigmented perfect color powder does its work perfectly without making the brow look fake all in all just perfect,"['this', 'brow', 'pencil', 'cum', 'powder', 'is', 'a', 'magic', 'product', 'maybelline', 'needs', 'a', 'reward', 'for', 'it', 'just', 'the', 'right', 'consistency', 'correctly', 'pigmented', 'perfect', 'color', 'powder', 'does', 'its', 'work', 'perfectly', 'without', 'making', 'the', 'brow', 'look', 'fake', 'all', 'in', 'all', 'just', 'perfect']","['brow', 'pencil', 'cum', 'powder', 'magic', 'product', 'maybelline', 'needs', 'reward', 'right', 'consistency', 'correctly', 'pigmented', 'perfect', 'color', 'powder', 'work', 'perfectly', 'without', 'making', 'brow', 'look', 'fake', 'perfect']","['brow', 'pencil', 'cum', 'powder', 'magic', 'product', 'maybelline', 'need', 'reward', 'right', 'consistency', 'correctly', 'pigmented', 'perfect', 'color', 'powder', 'work', 'perfectly', 'without', 'making', 'brow', 'look', 'fake', 'perfect']",brow pencil cum powder magic product maybelline need reward right consistency correctly pigmented perfect color powder work perfectly without making brow look fake perfect
